patient_num,patient_filename,accuracy,calibration,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
6,./mainpage/dataset/test_dir/0-0-patient49510_study1_view1_frontal.jpg,"""{\""0\"": 0.775, \""1\"": 0.735}""","""{\""0\"": 0.02187, \""1\"": 0.03}""",1,0,1,0,2,1,3,4,2,3,25,"12/05/2020, 02:16:10",Angela
7,./mainpage/dataset/test_dir/0-1-patient46165_study1_view1_frontal.jpg,"""{\""0\"": 0.775, \""1\"": 0.735}""","""{\""0\"": 0.02187, \""1\"": 0.03}""",1,1,1,0,3,0,3,3,3,3,14,"12/05/2020, 02:16:36",Angela
8,./mainpage/dataset/test_dir/0-0-patient31640_study1_view1_frontal.jpg,"""{\""0\"": 0.775, \""1\"": 0.735}""","""{\""0\"": 0.02187, \""1\"": 0.03}""",0,0,1,1,2,0,3,3,3,3,7,"12/05/2020, 02:16:55",Angela
9,./mainpage/dataset/test_dir/0-1-patient28702_study6_view1_frontal.jpg,"""{\""0\"": 0.79, \""1\"": 0.74}""","""{\""0\"": 0.02187, \""1\"": 0.03}""",1,1,1,1,3,1,3,3,2,3,21,"12/05/2020, 02:17:31",Angela
10,./mainpage/dataset/test_dir/0-0-patient12232_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.73}""","""{\""0\"": 0.019683000000000003, \""1\"": 0.03}""",1,0,1,1,3,0,3,3,3,3,5,"12/05/2020, 02:17:49",Angela
11,./mainpage/dataset/test_dir/1-1-patient61887_study1_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.745}""","""{\""0\"": 0.020667150000000002, \""1\"": 0.03}""",1,1,1,1,3,0,3,3,3,3,9,"12/05/2020, 02:18:23",Angela
12,./mainpage/dataset/test_dir/1-0-patient17248_study4_view1_frontal.jpg,"""{\""0\"": 0.79, \""1\"": 0.72}""","""{\""0\"": 0.020667150000000002, \""1\"": 0.027}""",1,0,1,1,3,1,3,3,3,3,22,"12/05/2020, 02:18:58",Angela
13,./mainpage/dataset/test_dir/0-0-patient50732_study1_view1_frontal.jpg,"""{\""0\"": 0.79, \""1\"": 0.76}""","""{\""0\"": 0.020667150000000002, \""1\"": 0.02835}""",0,0,0,1,2,0,3,3,3,3,16,"12/05/2020, 02:19:26",Angela
14,./mainpage/dataset/test_dir/0-0-patient39155_study1_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.79}""","""{\""0\"": 0.018600435000000002, \""1\"": 0.02835}""",0,0,0,1,2,0,3,3,3,3,22,"12/05/2020, 02:20:01",Angela
15,./mainpage/dataset/test_dir/0-0-patient23102_study1_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.75}""","""{\""0\"": 0.016740391500000004, \""1\"": 0.02835}""",0,0,1,0,2,1,3,3,3,3,13,"12/05/2020, 02:20:26",Angela
16,./mainpage/dataset/test_dir/1-1-patient40621_study2_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.75}""","""{\""0\"": 0.016740391500000004, \""1\"": 0.02835}""",0,1,1,1,2,0,3,3,3,3,7,"12/05/2020, 02:20:46",Angela
17,./mainpage/dataset/test_dir/1-0-patient09052_study26_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.76}""","""{\""0\"": 0.016740391500000004, \""1\"": 0.02835}""",0,0,0,0,2,0,3,3,3,3,16,"12/05/2020, 02:21:12",Angela
18,./mainpage/dataset/test_dir/1-1-patient00314_study27_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.76}""","""{\""0\"": 0.016740391500000004, \""1\"": 0.02835}""",1,1,1,1,3,1,3,3,3,3,19,"12/05/2020, 02:21:44",Angela
19,./mainpage/dataset/test_dir/0-1-patient25909_study4_view1_frontal.jpg,"""{\""0\"": 0.79, \""1\"": 0.705}""","""{\""0\"": 0.016740391500000004, \""1\"": 0.025515}""",1,1,1,1,2,0,3,3,3,3,10,"12/05/2020, 02:22:08",Angela
20,./mainpage/dataset/test_dir/0-0-patient09052_study26_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.74}""","""{\""0\"": 0.015066352350000003, \""1\"": 0.025515}""",0,0,0,1,3,0,3,3,3,3,7,"12/05/2020, 02:22:27",Angela
21,./mainpage/dataset/test_dir/1-0-patient22403_study1_view1_frontal.jpg,"""{\""0\"": 0.835, \""1\"": 0.74}""","""{\""0\"": 0.013559717115000003, \""1\"": 0.025515}""",1,0,1,0,2,1,3,3,3,4,26,"12/05/2020, 02:23:04",Angela
22,./mainpage/dataset/test_dir/1-0-patient14605_study1_view1_frontal.jpg,"""{\""0\"": 0.835, \""1\"": 0.74}""","""{\""0\"": 0.013559717115000003, \""1\"": 0.025515}""",0,0,0,1,2,0,3,3,3,3,7,"12/05/2020, 02:23:23",Angela
23,./mainpage/dataset/test_dir/1-0-patient15893_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.745}""","""{\""0\"": 0.013559717115000003, \""1\"": 0.0229635}""",0,0,0,1,2,0,3,3,3,3,8,"12/05/2020, 02:23:44",Angela
24,./mainpage/dataset/test_dir/1-0-patient36631_study4_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.78}""","""{\""0\"": 0.013559717115000003, \""1\"": 0.020667150000000002}""",1,0,1,0,2,1,3,3,3,3,12,"12/05/2020, 02:24:05",Angela
25,./mainpage/dataset/test_dir/1-0-patient15372_study2_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.78}""","""{\""0\"": 0.013559717115000003, \""1\"": 0.020667150000000002}""",1,0,0,1,2,0,3,3,3,3,5,"12/05/2020, 02:24:23",Angela
26,./mainpage/dataset/test_dir/1-1-patient56130_study1_view1_frontal.jpg,"""{\""0\"": 0.87, \""1\"": 0.77}""","""{\""0\"": 0.013559717115000003, \""1\"": 0.020667150000000002}""",1,1,1,0,2,0,3,3,3,3,7,"12/05/2020, 02:24:39",Angela
27,./mainpage/dataset/test_dir/1-0-patient22632_study1_view1_frontal.jpg,"""{\""0\"": 0.87, \""1\"": 0.77}""","""{\""0\"": 0.013559717115000003, \""1\"": 0.020667150000000002}""",0,0,0,1,2,1,3,3,2,3,15,"12/05/2020, 02:25:06",Angela
28,./mainpage/dataset/test_dir/1-1-patient38308_study4_view1_frontal.jpg,"""{\""0\"": 0.86, \""1\"": 0.73}""","""{\""0\"": 0.013559717115000003, \""1\"": 0.018600435000000002}""",1,1,1,1,2,0,3,3,3,3,6,"12/05/2020, 02:25:24",Angela
29,./mainpage/dataset/test_dir/1-1-patient28702_study6_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.755}""","""{\""0\"": 0.013559717115000003, \""1\"": 0.016740391500000004}""",1,1,1,0,4,0,3,3,3,3,15,"12/05/2020, 02:25:48",Angela
30,./mainpage/dataset/test_dir/1-1-patient07711_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.755}""","""{\""0\"": 0.013559717115000003, \""1\"": 0.016740391500000004}""",1,1,1,1,2,1,3,3,3,3,14,"12/05/2020, 02:26:14",Angela
