patient_num,patient_filename,accuracy,calibration,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
16,./mainpage/dataset/test_dir/0-0-patient14877_study1_view1_frontal.jpg,"""{\""0\"": 0.765, \""1\"": 0.76}""","""{\""0\"": 0.023729504951250015, \""1\"": 0.045000000000000005}""",0,0,0,1,5,0,3,3,3,3,19,"12/03/2020, 23:40:33",Henry
17,./mainpage/dataset/test_dir/1-0-patient24363_study1_view1_frontal.jpg,"""{\""0\"": 0.765, \""1\"": 0.76}""","""{\""0\"": 0.021356554456125013, \""1\"": 0.045000000000000005}""",0,0,0,1,4,0,3,3,3,3,12,"12/03/2020, 23:40:59",Henry
18,./mainpage/dataset/test_dir/1-1-patient20889_study3_view1_frontal.jpg,"""{\""0\"": 0.765, \""1\"": 0.76}""","""{\""0\"": 0.021356554456125013, \""1\"": 0.04050000000000001}""",1,1,1,1,4,1,3,5,3,5,23,"12/03/2020, 23:41:35",Henry
19,./mainpage/dataset/test_dir/0-0-patient00216_study1_view1_frontal.jpg,"""{\""0\"": 0.765, \""1\"": 0.76}""","""{\""0\"": 0.021356554456125013, \""1\"": 0.03645000000000001}""",0,0,0,1,3,0,3,3,3,3,7,"12/03/2020, 23:41:55",Henry
20,./mainpage/dataset/test_dir/1-1-patient48944_study1_view1_frontal.jpg,"""{\""0\"": 0.765, \""1\"": 0.76}""","""{\""0\"": 0.01922089901051251, \""1\"": 0.03645000000000001}""",1,1,1,1,4,0,3,3,3,3,8,"12/03/2020, 23:42:18",Henry
21,./mainpage/dataset/test_dir/1-1-patient50626_study1_view1_frontal.jpg,"""{\""0\"": 0.825, \""1\"": 0.735}""","""{\""0\"": 0.01922089901051251, \""1\"": 0.03280500000000001}""",1,1,1,1,4,1,3,5,2,5,27,"12/03/2020, 23:42:58",Henry
22,./mainpage/dataset/test_dir/1-1-patient41518_study1_view1_frontal.jpg,"""{\""0\"": 0.825, \""1\"": 0.735}""","""{\""0\"": 0.01922089901051251, \""1\"": 0.02952450000000001}""",1,1,1,1,4,0,3,3,3,3,8,"12/03/2020, 23:43:20",Henry
23,./mainpage/dataset/test_dir/1-0-patient55443_study3_view1_frontal.jpg,"""{\""0\"": 0.825, \""1\"": 0.735}""","""{\""0\"": 0.01922089901051251, \""1\"": 0.02657205000000001}""",1,0,1,1,3,0,3,3,3,3,14,"12/03/2020, 23:43:47",Henry
24,./mainpage/dataset/test_dir/1-0-patient28534_study1_view1_frontal.jpg,"""{\""0\"": 0.825, \""1\"": 0.735}""","""{\""0\"": 0.01922089901051251, \""1\"": 0.02790065250000001}""",1,0,1,1,3,1,3,5,3,5,19,"12/03/2020, 23:44:19",Henry
25,./mainpage/dataset/test_dir/1-1-patient02579_study1_view1_frontal.jpg,"""{\""0\"": 0.825, \""1\"": 0.735}""","""{\""0\"": 0.01922089901051251, \""1\"": 0.029295685125000012}""",1,1,0,1,2,0,3,3,3,3,13,"12/03/2020, 23:44:48",Henry
26,./mainpage/dataset/test_dir/1-0-patient22522_study6_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.72}""","""{\""0\"": 0.01922089901051251, \""1\"": 0.029295685125000012}""",1,0,1,1,3,0,3,3,3,3,8,"12/03/2020, 23:45:10",Henry
27,./mainpage/dataset/test_dir/1-0-patient08328_study7_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.72}""","""{\""0\"": 0.01922089901051251, \""1\"": 0.030760469381250013}""",0,0,0,1,3,1,3,5,2,4,20,"12/03/2020, 23:45:46",Henry
28,./mainpage/dataset/test_dir/1-0-patient49349_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.72}""","""{\""0\"": 0.01922089901051251, \""1\"": 0.027684422443125013}""",1,0,1,1,4,0,3,3,3,3,22,"12/03/2020, 23:46:20",Henry
29,./mainpage/dataset/test_dir/1-0-patient22632_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.72}""","""{\""0\"": 0.01922089901051251, \""1\"": 0.029068643565281264}""",0,0,0,1,3,0,3,3,3,3,13,"12/03/2020, 23:46:47",Henry
30,./mainpage/dataset/test_dir/1-0-patient34294_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.72}""","""{\""0\"": 0.01922089901051251, \""1\"": 0.02616177920875314}""",0,0,0,1,3,1,2,5,2,4,20,"12/03/2020, 23:47:21",Henry
